Артикул;Название;Изображения;"Длина спального места";"Длина макс";Длина;Высота;"Ширина стула";"Высота сиденья";"Ширина спального места";Ширина;"Высота стула";"Глубина стула";"Материал столешницы";"Материал сиденья";"Материал каркаса";Материал;"Цвет столешницы";"Цвет сиденья";"Цвет обивки";"Цвет металла";"Цвет каркаса";"Цвет дерева";Описание;Вес;Объем;"Страна происхождения";Производитель;"По раскладке";"Цена опт 1";"Цена опт 2";"Цена РРЦ";"EAS 1";"EAS 2";"Общий остаток";"Дата поступления"
44.43;"Стул ELIAS 44,43 (G093 Хром/ TR 500 айвори экокожа )";"https://mebelcity.com/upload/iblock/c7a/c7a9d5e7eb7422839cea80cd8426fc06.jpg https://mebelcity.com/upload/iblock/b09/b0985c41328c4fedb0e41ac12ce13575.jpg";;;;;48;48;;;90;58;;Экокожа;Металл;;;"Айвори TR 500";;;;;"Стулья упакованы по 2 штуки в 1 коробку. На складе и в магазине.";7;0,18;Италия;"BONTEMPI CASA";;16400.00;16400.00;20500.00;;;4;
40,20;"Стул PAPERIK 40.20 (М313 сер-кор/ Z030 сер-кор Rectylon)";"https://mebelcity.com/upload/iblock/630/630852007788f747d29178c51cf027cb.jpg https://mebelcity.com/upload/iblock/389/38903c0bbe51ca1493d09d6486e9ecb3.jpg";;;;;46;46;;;86;54;;Полипропилен;Металл;;;Серо-коричневый;;;;;"Стулья упакованы по 2 штуки в 1 коробку. Отлично подходят для кухни. Легко моются. На складе и в магазине.";6;0,07;Италия;"BONTEMPI CASA";;8320.00;8320.00;10400.00;;;4;
44.52;"Стул VITTORIA 44.52 (М089 алюмин./ TCMA0102 фиолет, ткань Magu )";https://mebelcity.com/upload/iblock/81d/81d5281316a28404f302a28fa3b14fd4.jpg;;;;;44;48;;;86;54;;Ткань;;;;Фиолетовый;;;;;"На складе. Легкий компактный стул. Идеально подходит для кухни. ";7;0,2;Италия;"BONTEMPI CASA";;10560.00;11100.00;13200.00;8800.00;9666.00;6;
CS3357;"Кресло ELECTA CS/3357, A02 DENVER SAND, COMFORT 100 COMPACT, COMBIN.1300, LEG MT.P66 ";https://mebelcity.com/upload/iblock/333/333825b983d4d82f91ed832d4b443d7d.jpg;;;;;;;;;;;;Ткань;Металл;;;Бежевый;;;;;;;;Италия;CALLIGARIS;;77325.00;81200.00;90970.00;64437.00;70875.00;;
04.01;"Стул AIDA 04.01 (G093 хром/ TR501 беж., экокожа)";"https://mebelcity.com/upload/iblock/909/9094428349c03d41fc96e34f1b292294.jpg https://mebelcity.com/upload/iblock/0b5/0b53c537272e292528f2dcacb41f33b3.jpg";;;;;48;48;;;103;57;;Экокожа;Металл;;;"Бежевый TR 501";;;;;"Стулья упакованы по 2 штуки в 1 коробку. На складе в упаковке.";8;0,21;Италия;BONTEMPI;;17120.00;18000.00;21400.00;14266.00;15708.00;4;
44.43;"Стул ELIAS 44,43 (М312 песочный/ TR 501 беж. экокожа) ";"https://mebelcity.com/upload/iblock/378/378f9c048cc6a55a064e250040857f94.jpg https://mebelcity.com/upload/iblock/b7f/b7f7a4fcb6273dae3dd75bf993378310.jpg";;;;;48;48;;;90;58;;Экокожа;Металл;;;"Бежевый TR 501";;;;;"Стулья упакованы по 2 штуки в 1 коробку. На складе в упаковке.";7;0,18;Италия;BONTEMPI;;14000.00;14700.00;17500.00;11666.00;12833.00;4;
40,11;"Стул CLARA 40.11 (TR505 white with sand cordonet, экокожа)";"https://mebelcity.com/upload/iblock/d1a/d1a0dbc03d9f5174c175c35c8cdd8efb.jpg https://mebelcity.com/upload/iblock/fd9/fd983e2031ff955344019fe08203b98a.jpg https://mebelcity.com/upload/iblock/98e/98e480e632f08678288c48765f99f5a2.jpg";;;;;52;48;;;91;60;;Экокожа;"Металл в обивке";;;"Белый TR 505";;;;;"Cтул полностью в мягкой обивке белого цвета с контрастной окантовкой песочного цвета. На складе и в магазине.";10;0,38;Италия;BONTEMPI;;18080.00;19000.00;22600.00;15066.00;16583.00;3;
CS/1459P100;"Стул GAMERA CS/1459, NY P100 NYLON SKY BLUE";https://mebelcity.com/upload/iblock/b7a/b7a0ec1e2a746dbf8848bcd32c13cbb1.jpg;;;;;53;45;;;82;53;;;Полипропилен;;;;;;;;"<br />
Упакован - 2 штуки/ 1 коробка.";9;0,22;Италия;CALLIGARIS;;5850.00;6150.00;9750.00;4875.00;5375.00;4;
CS/1459P328;"Стул GAMERA CS/1459, NY P328 NYLON NOUGAT MATT ";https://mebelcity.com/upload/iblock/9c5/9c56ee18269caf0c2a048fad50c450d1.jpg;;;;;53;45;;;82;53;;;Полипропилен;;;;;;;;"Упакован - 2 штуки/ 1 коробка.";9;0,22;Италия;CALLIGARIS;;5850.00;6150.00;9750.00;4875.00;5375.00;2;
CS/10459P973;"Стул GAMERA CS/1459, NY P973 NYLON MATT MUSTURD YELLOW";https://mebelcity.com/upload/iblock/313/313de68e369814809ee8c043a1cc1d3f.jpg;;;;;53;45;;;82;53;;;Полипропилен;;;;;;;;"Упакован - 2 штуки/ 1 коробка.";9;0,22;Италия;CALLIGARIS;;5850.00;6150.00;9750.00;4875.00;5375.00;2;
44.57;"Стул OLLY 44.57 (G093/Z031 полипропилен белого цв. )";"https://mebelcity.com/upload/iblock/06c/06c1c65d5b601d544353b131c96bef7e.jpg https://mebelcity.com/upload/iblock/01c/01cbb0fc983360057a13a1a6643937ab.jpg";;;;;49;46;;;84;53;;Полипропилен;Металл;;;Белый;;;;;"На складе в упаковке.<br />
Современный стул на металлокаркасе с полипропиленовым сиденьем.<br />
Идеально подойдет для кухни. Легкий и удобный в эксплуатации.";;;Италия;BONTEMPI;;7500.00;7900.00;7500.00;6250.00;6875.00;4;
44.57;"Стул OLLY 44.57 (G093/Z028 полипропилен красного цв. )";"https://mebelcity.com/upload/iblock/863/863ed6575048b26f09f304e63e8ab5dc.jpg https://mebelcity.com/upload/iblock/9ed/9ede8b4dcb91d84d277b7ed3cc444bf6.jpg";;;;;49;46;;;84;53;;Полипропилен;Металл;;;Красный;;;;;"На складе в упаковке.<br />
Современный стул на металлокаркасе с полипропиленовым сиденьем.<br />
Идеально подойдет для кухни. Легкий и удобный в эксплуатации.";7,5;0,1;Италия;BONTEMPI;;7500.00;7900.00;7500.00;6250.00;6875.00;4;
40,06.TR518;"Стул SIMBA 40.06 (TR518 sand/ песочный )";"https://mebelcity.com/upload/iblock/d95/d95ce4a6442826989f668d575de5b3b0.jpg https://mebelcity.com/upload/iblock/ff6/ff6d4ab61ab6df8bcadcf7c5ef8dd750.jpg";;;;;46;50;;;88;60;;Экокожа;"Металл в обивке";;;"Песочный TR 518";;;;;"Стулья упакованы по 2 штуки в 1 коробку. На складе в упаковке.<br />
Очень легкие и комфортные стулья, обитые полностью экокожей.";7;0,16;Италия;BONTEMPI;;9680.00;10150.00;12100.00;8066.00;8875.00;16;
CS/1390P94P799;"Стул BLOOM CS/1390, P94 MATT OPTIC WHITE/P799 WHITE";https://mebelcity.com/upload/iblock/362/3627d7b1e7cc961db53a4b278fa66649.jpg;;;;;59;45;;;73.5;59;;;;;;;;;;;"Упакован:<br />
каркас - 2шт/1кор<br />
сиденье - 2шт/1кор";14,4;0,35;Италия;CALLIGARIS;;7440.00;7800.00;12400.00;6200.00;6833.00;4;
40.38;"Стул KUGA 40.38 (G093 хром/ TR505 белый, экокожа)";"https://mebelcity.com/upload/iblock/261/26143a968fc62bd507748836d6ffa0ad.jpg https://mebelcity.com/upload/iblock/a01/a01b0302b781580233c40a525d85333d.jpg https://mebelcity.com/upload/iblock/620/62007e9d337dbf36d82502f62bd59a04.jpg";;;;;48;48;;;103;57;;Экокожа;Металл;;;"Белый TR 505";;;;;"Очень мягкий и комфортный стул. Стулья упакованы по 2 штуки в 1 коробку. На складе.";8;0,18;Италия;BONTEMPI;;17280.00;18150.00;21600.00;14400.00;15833.00;10;
40.06.TT001;"Стул SIMBA 40.06 (TT001 песочный, технич.ткань)";"https://mebelcity.com/upload/iblock/1ac/1ac198829f8201a1539c77a2ae699e49.jpg https://mebelcity.com/upload/iblock/324/3247128153c956f3b7037bc776fa68ab.jpg";;;;;46;50;;;88;60;;"Инженерная ткань";"Металл в обивке";;;Песочный;;;;;"Легкий и комфортный стул, полностью обитый технической тканью и легко моется. Идеально подходит для использования на кухне. Стулья упакованы по 2 штуки в 1 коробку. На складе в упаковке.";7;0,16;Италия;"BONTEMPI CASA";;8960.00;9400.00;11200.00;7466.00;8208.00;6;
04.01;"Стул AIDA 04.01 (M089 алюмин./ TR504 черный, экокожа)";"https://mebelcity.com/upload/iblock/1ac/1acf1bc0c733b57bfc76d5208636cf06.jpg https://mebelcity.com/upload/iblock/a6b/a6bde0e52b635452506754ade9b4cccc.jpg";;;;;48;48;;;103;57;;Экокожа;Металл;;;"Чёрный TR 504";;;;;"Стулья упакованы по 2 штуки в 1 коробку. На складе в упаковке.";8;0,21;Италия;BONTEMPI;;15280.00;15280.00;19100.00;;;4;
40.38;"Стул KUGA 40.37 (ELM L008 WOODS/ TR518 песочный, экокожа)";"https://mebelcity.com/upload/iblock/491/491500e253420f63009fd45c3a2176b1.jpg https://mebelcity.com/upload/iblock/ac3/ac34ca1a7235a8ea0af073ebfaa56e11.jpg https://mebelcity.com/upload/iblock/783/783cc0d072f8d497750110dd10f0722d.jpg";;;;;48;48;;;103;57;;Экокожа;"Массив бука";;;"Песочный TR 518";;;;;"Очень мягкий и комфортный стул.Стулья упакованы по 2 штуки в 1 коробку. На складе и на образце в магазине.";8;0,18;Италия;BONTEMPI;;20640.00;21650.00;25800.00;17200.00;18916.00;10;
40,09;"Стул GIPSY 40.09 (Z039 полипропилен в цвете антрацит)";"https://mebelcity.com/upload/iblock/980/98093faa5fbb822b91f02cee479f8178.jpg https://mebelcity.com/upload/iblock/68d/68d9ca928f4a5319fc86c5b78863a471.jpg https://mebelcity.com/upload/iblock/153/15347ed3fef613e82cf554e5c8e52da8.jpg";;;;;48;45;;;85;55;;;Полипропилен;;;;;;;;"Пригоден для использования в доме, на улице, в местах общественного пользования. Очень стильный яркий стул, отлично вписывается в любой интерьер. Широкая цветовая гамма. Штабелируется. На складе в упаковке.";4,5;0,14;Италия;BONTEMPI;;7120.00;7120.00;8900.00;;;11;
40,37;"Стул KUGA 40.37 (ELM L008 WOODS/ TR505 белый , экокожа)";"https://mebelcity.com/upload/iblock/add/add330fde2c24c1c24fc01d6ae1b40de.jpg https://mebelcity.com/upload/iblock/570/5706c1b1639c5fd01ffa7c7ce31dab09.jpg https://mebelcity.com/upload/iblock/f0b/f0b1e0ad2a7edc61c5ee9789f6ee375c.jpg";;;;;48;48;;;103;57;;Экокожа;"Массив бука";;;"Белый TR 505";;;;;"Очень мягкий и комфортный стул.Стулья упакованы по 2 штуки в 1 коробку. На складе и на образце в магазине.";8;0,18;Италия;BONTEMPI;;20640.00;21650.00;25800.00;17200.00;18916.00;6;
40,07.TR505;"Стул MALIK 40.07 (TR505 белый, экокожа)";https://mebelcity.com/upload/iblock/a38/a38d126087c609457b15d0277f6b55d3.jpg;;;;;47;44;;;96;55;;Экокожа;"Металл в обивке";;;"Белый TR 505";;;;;"Стулья упакованы по 2 штуки в 1 коробку. На складе и на образце в магазине.";6;0,15;Италия;BONTEMPI;;10000.00;10000.00;12500.00;;;2;
04.01;"Стул AIDA 04.01 (G093 хром/ TR505 белый, экокожа)";"https://mebelcity.com/upload/iblock/662/6626c0ff8972a1f1b9d8ed65c52ed6b2.jpg https://mebelcity.com/upload/iblock/43f/43f3ac34171649039463693543a2aee6.jpg";;;;;48;48;;;103;57;;Экокожа;Металл;;;"Белый TR 505";;;;;"Стулья упакованы по 2 штуки в 1 коробку. На складе в упаковке.";8;0,21;Италия;BONTEMPI;;17120.00;17120.00;21400.00;;;4;
44.52;"Стул VITTORIA 44,52 (М089 алюмин./ TR515 синий кобальт, экокожа)";https://mebelcity.com/upload/iblock/45e/45e40eb5ab42fffc9bcab5ec65440979.jpg;;;;;44;48;;;86;54;;Экокожа;;;;"Синий кобальт TR 515";;;;;"На складе в упаковке. Легкий компактный стул. Идеально подходит для кухни. ";7;0,2;Италия;"BONTEMPI CASA";;10560.00;10560.00;13200.00;;;6;
04,01;"Стул AIDA 04.01 (M089 алюмин./ TR505 белый, экокожа)";"https://mebelcity.com/upload/iblock/2ce/2ce68e728efa0764360e012c9e9cae50.jpg https://mebelcity.com/upload/iblock/f49/f494c01973dee0d8590dc77addf621e3.jpg";;;;;48;48;;;103;57;;Экокожа;Металл;;;"Белый TR 505";;;;;"Стулья упакованы по 2 штуки в 1 коробку. СКИДКА 50&#37;. На образце в магазине и со склада.";8;0,21;Италия;"BONTEMPI CASA";;15280.00;16050.00;19100.00;12733.00;14000.00;;
40.37;"Стул KUGA 40.37 (L002 OAK SPESSART/ TR518 песочн., экокожа)";"https://mebelcity.com/upload/iblock/605/6055db9d0d4f28ea59698e14b5e00bb4.jpg https://mebelcity.com/upload/iblock/293/293226e238d6d36dc58c9f770f52f087.jpg https://mebelcity.com/upload/iblock/eb7/eb7741b67e3c16b0127e352f3f4e69c9.jpg";;;;;48;48;;;103;57;;Экокожа;"Массив бука";;;"Песочный TR 518";;;;;"Очень мягкий и комфортный стул.Стулья упакованы по 2 штуки в 1 коробку. На складе и на образце в магазине.";8;0,18;Италия;BONTEMPI;;20640.00;21650.00;25800.00;17200.00;18916.00;8;
40,09;"Стул GIPSY 40.09 (Z025 полипропилен в цвете турчезе)";"https://mebelcity.com/upload/iblock/894/894806019d20444bcacccdecf2bbdf40.jpg https://mebelcity.com/upload/iblock/f81/f81873ad716792ff5d24cb5cba16dce1.jpg https://mebelcity.com/upload/iblock/a6b/a6ba512ab1b2a63747c222dee6ba1486.jpg";;;;;48;45;;;85;55;;;Полипропилен;;;;;;;;"Пригоден для использования в доме, на улице, в местах общественного пользования. Очень стильный яркий стул, отлично вписывается в любой интерьер. Широкая цветовая гамма. Штабелируется. На складе в упаковке.";4,5;0,14;Италия;BONTEMPI;;6240.00;6550.00;7800.00;5200.00;5708.00;11;
44.52;"Стул VITTORIA 44,52 (М307 т-коричн./ TR501 беж, экокожа)";https://mebelcity.com/upload/iblock/04f/04fd3fda88aaf27cc1060b4aeaa29653.jpg;;;;;44;48;;;86;54;;Экокожа;;;;"Бежевый TR 501";;;;;"На складе. Легкий компактный стул. Идеально подходит для кухни. ";7;0,2;Италия;"BONTEMPI CASA";;10560.00;11100.00;13200.00;8800.00;9666.00;6;
44.52;"Стул VITTORIA 44,52 (М089 алюмин./ MAGU/07 TB606 антрацит, ткань Magu )";https://mebelcity.com/upload/iblock/1d6/1d632d5b59ddb542c5065f45eebb04ce.jpg;;;;;44;48;;;86;54;;Ткань;;;;Антрацит;;;;;"На образце в магазине и на складе. Легкий компактный стул. Идеально подходит для кухни. Обивка - пятноустойчивая ткань MAGU.";7;0,2;Италия;"BONTEMPI CASA";;10560.00;11100.00;13200.00;8800.00;9666.00;6;
44.52;"Стул VITTORIA 44.52 (М089 алюмин./ TCMA0188 баклаж, ткань Magu )";https://mebelcity.com/upload/iblock/6af/6af46309705fbf1c3e1e82b8612ced5a.jpg;;;;;44;48;;;86;54;;Ткань;;;;Баклажан;;;;;"На складе. Легкий компактный стул. Идеально подходит для кухни. ";7;0,2;Италия;"BONTEMPI CASA";;12000.00;12600.00;15000.00;10000.00;11000.00;6;
44.51.Z031;"Стул GILL 44.51 (Z031 белый, полипропилен)";https://mebelcity.com/upload/iblock/aa1/aa11ab24c3505f0cf3385039e407a13f.jpg;;;;;47;47;;;84;52;;;Полипропилен;;;;;;;;"На складе в упаковке. Упаковано - 4 штуки/ 1 коробка. Пригоден для использования в доме, на улице, в местах общественного пользования.Очень стильный яркий стул, отлично вписывается в любой интерьер.Широкая цветовая гамма.<br />
";5,25;0,039;Италия;BONTEMPI;;5200.00;5450.00;6500.00;4333.00;4750.00;3;
44.51.Z029;"Стул GILL 44.51 (Z029 песочный, полипропилен)";https://mebelcity.com/upload/iblock/256/256eb2f102993662522aa45913aeb50e.jpg;;;;;47;47;;;84;52;;Полипропилен;Полипропилен;;;"Песочный Z029";;;;;"На складе в упаковке. Упаковано - 4 штуки/ 1 коробка. Пригоден для использования в доме, на улице, в местах общественного пользования.Очень стильный яркий стул, отлично вписывается в любой интерьер.Широкая цветовая гамма.<br />
";5,25;0,039;Италия;BONTEMPI;;5200.00;5450.00;6500.00;4333.00;4750.00;8;
44.51Z058;"Стул GILL 44.51 (Z058 голубой, полипропилен)";https://mebelcity.com/upload/iblock/7d4/7d43d3d5c561a6d92577e25ddf0fde40.jpg;;;;;52;47;;;84;47;;Полипропилен;Полипропилен;;;"Голубой Z058";;;;;"На складе в упаковке. Упаковано - 4 штуки/ 1 коробка. Пригоден для использования в доме, на улице, в местах общественного пользования.Очень стильный яркий стул, отлично вписывается в любой интерьер.Широкая цветовая гамма.<br />
<br />
";5,25;0,039;Италия;BONTEMPI;;5200.00;5450.00;6500.00;4333.00;4750.00;6;
04.08.TN005;"Стул SOFIA 04.08 высокий (TN005 снежно-голубой )";https://mebelcity.com/upload/iblock/947/947b3c48b485ab1e5007a0244e48db17.jpg;;;;;46;50;;;89;55;;"Ткань Nabuk";"Металл в обивке";;;"Снежно-голубой TN005";;;;;"Стулья упакованы по 2 штуки в 1 коробку.<br />
Стильный стул для гостиной, обитый снежно-голубой влагостойкой тканью НАБУК. На складе в упаковке.";8,6;0,2;Италия;BONTEMPI;;22280.00;23400.00;27850.00;18566.00;20416.00;6;
C40FRUSTSG;"Стул PALMA 40F RUSTIQUE /SEAGRASS  (рустик/ сиденье плетенка )  М-City";"https://mebelcity.com/upload/iblock/825/82595dc7af3c739408e7c8bbf7580911.jpg https://mebelcity.com/upload/iblock/6b9/6b9455482a094707653f66609b744966.jpg";;;;;43;46;;;93;44;;Плетёнка;"Массив бука";"Массив бука";;Светло-бежевый;;;Рустикальный;;"<h1>Стул деревянный 40F с сиденьем плетенка в стиле Прованс</h1>
<p>Упакован - 2шт./ 1 коробка</p>
<p>Каркас стула - из массива бука</p>";5;0,12;Италия;PALMA;;4130.00;4350.00;4700.00;3441.00;3791.00;12;
C40FWHTWOOD;"Стул PALMA 40F WHITE / WOOD SEAT (белый/ дерев. сид. рустик)  М-City";"https://mebelcity.com/upload/iblock/100/10031d3d296593f65e376f603b26c4b8.jpg https://mebelcity.com/upload/iblock/149/14925a93cf12c781e9e6d6e5eaaad60b.jpg";;;;;43;46;;;93;44;;"Массив бука";"Массив бука";;;"Дуб рустикальный";;;"Дуб белый";;"<h1>Стул деревянный 40F с деревянным сиденьем в стиле Прованс</h1>
<p>Упакован - 2шт./ 1 коробка</p>
<p>Каркас стула - из массива бука</p>";5,25;0,12;Италия;PALMA;;4330.00;4550.00;5290.00;3608.00;3958.00;2;
C40FAVBA;"Стул PALMA 43D WHITE / WOOD SEAT (белый/дерев. сид. рустик) М-City";"https://mebelcity.com/upload/iblock/b5a/b5ae74e4d034f3d36d749bdd1cb91a97.jpg https://mebelcity.com/upload/iblock/292/292b1e5203a0109a80cad5c6106af2da.jpg";;;;;44;47;;;88;44;;"Массив бука";"Массив бука";"Массив бука";;"Дуб рустикальный";;;"Дуб белый";;"<h1>Стул деревянный 43D<h1>
<p>Итальянский стул в стиле Прованс.</p>
<p>Каркас и сиденье выполнены из массива бука.</p>
<p>Стулья собираются на фабрике и поставляются в собранном виде, что обеспечивает надежность и долговечность данной модели.</p>
<p>Идеально подходит к французским столам PROVENCE SH, PROVENCE LG, LOIRET.</p>
";5;0,12;Италия;PALMA;;5480.00;5750.00;6010.00;4566.00;5041.00;2;
C40FAVBA5;"Стул PALMA 431 VANILLE/ BA5 (ваниль/ ткань) М-City";"https://mebelcity.com/upload/iblock/df7/df7f8bfb681ea7e0761fa52052827535.jpg https://mebelcity.com/upload/iblock/aba/abac773f94ea83aebf1bc1c0032423aa.jpg";;;;;42;47;;;87;43;;Ткань;"Массив бука";"Массив бука";;Светло-бежевый;;;"Дуб молочный";;"<h1>Стул деревянный 431 с мягким сиденьем в стиле Прованс</h1>
<p>Упакован - 2шт./ 1 коробка</p>
<p>Каркас стула - из массива бука, сиденье обито тканью бежевого цвета, ткань - 40% хлопок, 42% полиэстер, 18% сс, плотность ткани - 440г/м2</p>";4,5;0,12;Италия;PALMA;;6490.00;6800.00;6980.00;5408.00;5958.00;49;
C15380BUTFB51;"Стул LT C15380 BUTTERMILK #WW21/ FB51 М-City";"https://mebelcity.com/upload/iblock/a6f/a6f02e9555fc15ad17474da278dc5e76.jpg https://mebelcity.com/upload/iblock/682/6827ffec6ee29ba6c999add0aa0efd4a.jpg https://mebelcity.com/upload/iblock/f5d/f5d064c9b96126cdbd833aa1b61047ad.jpg";;;;;53;48;;;98;62;;Ткань;"Массив гевеи";;;Бежевый;;;"Дуб молочный";;"<h1>Стул деревянный C15380 дуб молочный</h1>
<p>Каркас стула выполнен из массива гевеи с винтажным декором, потертостями под патину, сиденье обито тканью светло-бежевого цвета FB51.</p> 
<p>Стулья упакованы по 2 штуки в одной коробке. Поставляются в разобранном виде.</p>";8,75;0,075;Малайзия;"LATITUDE TREE FURNITURE SDN BHD";;4230.00;4450.00;6790.00;3525.00;3875.00;124;"15.07.2020 0:00:00"
C15375TUCBROWFB49;"Стул LT C15375 TUCSON BROWN #K249/ FB49 М-City";"https://mebelcity.com/upload/iblock/535/5354cf1d6486762cf475e69ef557fb48.jpg https://mebelcity.com/upload/iblock/e20/e206609eb474efc87dff21208552bd2c.jpg https://mebelcity.com/upload/iblock/c0a/c0aeb1853f679ba569555639d7388497.jpg https://mebelcity.com/upload/iblock/7df/7dfd8fcb9d1feead1956d96bf52b880c.jpg";;;;;46.4;48;;;96.5;56;;Ткань;"Массив гевеи";;;Бежевый;;;"Дуб темный";;"<h1>Стул деревянный C15375</h1>
<p>Каркас стула выполнен из массива гевеи, сиденье обито тканью бежевого цвета.</p> 
<p>Стулья упакованы по 2 штуки в одной коробке. Поставляются в разобранном виде.</p>";7,75;0,064;Малайзия;"LATITUDE TREE FURNITURE SDN BHD";;3650.00;3850.00;5870.00;3041.00;3333.00;278;
C12296DOAK;"Стул LT C12296 DARK OAK #K247/ FB-X-1002 М-City";"https://mebelcity.com/upload/iblock/ed5/ed5e5edd9af64a1de41476d87aed2995.jpg https://mebelcity.com/upload/iblock/6e9/6e986bccf6e23f205decf498456e51ea.jpg";;;;;50.5;47;;;102;59;;Ткань;"Массив гевеи";;;Бежевый;;;"Дуб темный";;"<h1>Стул деревянный C12296</h1>
<p>Каркас стула выполнен из массива гевеи, сиденье обито тканью бежевого цвета.</p> 
<p>Стулья упакованы по 2 штуки в одной коробке. Поставляются в разобранном виде.</p>";8,5;0,072;Малайзия;"LATITUDE TREE FURNITURE SDN BHD";;4170.00;4400.00;6690.00;3475.00;3833.00;26;
C12298DBFB49;"Стул C12298DB DERBY BROWN #K229/ FB49 М-City";"https://mebelcity.com/upload/iblock/b66/b6631c58ad6654597109fa91febb6c28.jpg https://mebelcity.com/upload/iblock/710/71088b8ee4c7d237bdbb9f3e76be268a.jpg https://mebelcity.com/upload/iblock/4da/4da54cf4527b171b5f9c6537e5bff8e2.jpg https://mebelcity.com/upload/iblock/101/1019bd26a681116b6f72480660898810.jpg";;;;;47;48;;;97;57;;Ткань;"Массив гевеи";;;Бежевый;;;"Дуб темный";;"<h1>Стул деревянный C12298 DB дуб коричневый</h1>
<p>Каркас стула выполнен из массива гевеи с винтажным декором, брашировкой, сиденье обито тканью бежевого цвета FB49.</p> 
<p>Стулья упакованы по 2 штуки в одной коробке. Поставляются в разобранном виде.</p>";8;0,064;Малайзия;"LATITUDE TREE FURNITURE SDN BHD";;3670.00;3850.00;5870.00;3058.00;3375.00;;"15.07.2020 0:00:00"
C14357BUTFB47;"Стул LT C14357 BUTTERMILK #WW60/ FB47 М-City";"https://mebelcity.com/upload/iblock/514/514dd63e7543256e19f9c75d6570441e.jpg https://mebelcity.com/upload/iblock/60d/60db3096b4a88c76b39f588f91b81e9a.jpg https://mebelcity.com/upload/iblock/8c7/8c7cffb173cbf35596dc378f9f014cbf.jpg https://mebelcity.com/upload/iblock/5ea/5ead043c46b0984f6332de0943a80fff.jpg";;;;;49.5;48;;;98;63;;Ткань;"Массив гевеи";;;Светло-бежевый;;;"Дуб белый";;"<h1>Стул деревянный C14357 дуб белый</h1>
<p>Каркас стула выполнен из массива гевеи с винтажным декором, потертостями, сиденье обито тканью светло-бежевого цвета.</p> 
<p>Стулья упакованы по 2 штуки в одной коробке. Поставляются в разобранном виде.</p>";8,5;0,072;Малайзия;"LATITUDE TREE FURNITURE SDN BHD";;4230.00;4450.00;6790.00;3525.00;3875.00;137;
C14358DCH;"Стул LT C14358 DARK CHERRY/ FB47 М-City";https://mebelcity.com/upload/iblock/698/6988657ac7ddd7012510569cffdef1d7.jpg;;;;;46.4;47;;;97;54;;Ткань;"Массив гевеи";;;Светло-бежевый;;;"Орех шоколадный";;"<h1>Стул деревянный C14358</h1>
<p>Каркас стула выполнен из массива гевеи, сиденье обито тканью светло-бежевого цвета.</p> 
<p>Стулья упакованы по 2 штуки в одной коробке. Поставляются в разобранном виде.</p>";7,5;0,07;Малайзия;"LATITUDE TREE FURNITURE SDN BHD";;3710.00;3900.00;4810.00;3091.00;3416.00;55;
C09178BUTFB47;"Стул LT C09178 BUTTERMILK#WW21/ FB47 М-City";"https://mebelcity.com/upload/iblock/b13/b1370e842b16007128e5b7bf8f63eb09.jpg https://mebelcity.com/upload/iblock/1bf/1bf4aac4dbd0889c748d37385b4f116f.jpg https://mebelcity.com/upload/iblock/34b/34b23831684ef8a02b1f4aa6d1263f7d.jpg";;;;;49.5;47;;;102;58.5;;Ткань;"Массив гевеи";;;Светло-бежевый;;;"Дуб молочный";;"<h1>Стул деревянный C09178 дуб молочный</h1>
<p>Каркас стула выполнен из массива гевеи с винтажным декором, патиной, потертостями, сиденье обито тканью светло-бежевого цвета FB47.</p> 
<p>Стулья упакованы по 2 штуки в одной коробке. Поставляются в разобранном виде.</p>";9,5;0,077;Малайзия;"LATITUDE TREE FURNITURE SDN BHD";;3910.00;4100.00;6230.00;3258.00;3583.00;6;
C14351GREENFB47;"Стул LT C14351 GREEN/ FB47 М-City";https://mebelcity.com/upload/iblock/cd8/cd88c3d01c3fcb606880690fefb9cb07.jpg;;;;;49;47;;;96.5;55.5;;Ткань;"Массив гевеи";;;Светло-бежевый;;;"Дуб зеленый винтажный";;"<h>Стул деревянный C14351 дуб зеленый винтаж.</h>
<p>Каркас стула выполнен из массива гевеи с винтажным декором, потертостями, сиденье обито тканью светло-бежевого цвета.</p> 
<p>Стулья упакованы по 2 штуки в одной коробке. Поставляются в разобранном виде.</p>";8;0,062;Малайзия;"LATITUDE TREE FURNITURE SDN BHD";;3850.00;4050.00;4970.00;3208.00;3541.00;1;
C12298BUTFB6;"Стул C12298B BUTTERMILK #WW21/ FB6  М-City";"https://mebelcity.com/upload/iblock/97b/97bc2df3ae569178ca9709a4a6b7c11b.jpg https://mebelcity.com/upload/iblock/ea7/ea7138f915326d33ddf54d8186830e5c.jpg https://mebelcity.com/upload/iblock/666/666d9b1f7cfc57eb930c221cccee29f4.jpg https://mebelcity.com/upload/iblock/95c/95c6015210ff2c5e56c11bb458dac5fe.jpg";;;;;47;47;;;97;57;;Ткань;"Массив гевеи";;;Бежевый;;;"Дуб молочный";;"<h1>Стул деревянный C12298B дуб молочный</h1>
<p>Каркас стула выполнен из массива гевеи с винтажным эффектом и потертостями. Сиденье обито тканью бежевого цвета FB6.</p> 
<p>Стулья упакованы по 2 штуки в одной коробке. Поставляются в разобранном виде.</p>";8;0,064;Малайзия;"LATITUDE TREE FURNITURE SDN BHD";;3670.00;3850.00;5870.00;3058.00;3375.00;;"15.07.2020 0:00:00"
