Артикул;Название;Изображения;"Длина спального места";"Длина макс";Длина;Высота;"Ширина стула";"Высота сиденья";"Ширина спального места";Ширина;"Высота стула";"Глубина стула";"Материал столешницы";"Материал сиденья";"Материал каркаса";Материал;"Цвет столешницы";"Цвет сиденья";"Цвет обивки";"Цвет металла";"Цвет каркаса";"Цвет дерева";Описание;Вес;Объем;"Страна происхождения";Производитель;"По раскладке";"Цена опт 1";"Цена опт 2";"Цена РРЦ";"EAS 1";"EAS 2";"Общий остаток";"Дата поступления"
UDC7103G02216;"Стул NATE  бежевый, ткань G022-16 М-City";"https://mebelcity.com/upload/iblock/c64/c644e03d364c773b90ca1b29ffd35384.jpg https://mebelcity.com/upload/iblock/95b/95b0d1c04c3e26d0a7557acc79099775.jpg https://mebelcity.com/upload/iblock/f92/f9267942093f364e18490b82ca07fb50.jpg";;;;;47;48;;;89;54;;Ткань;Металл;;;Бежевый;;;Чёрный;;"<h1>Стул NATE G022-16 бежевый</h1>
<p>Сиденье обито тканью бежевого цвета с декоративной строчкой.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 2 шт./1 кор.</p>
";6;0,08;Китай;"TIANJIN U-LIKE INTL.CO.,LTD ";;2150.00;2250.00;3450.00;1791.00;1958.00;254;
UDC7098G06236;"Стул CHIC G062-36 бургунди, велюр М-City";"https://mebelcity.com/upload/iblock/b02/b027feff3c0ee66bf7b292e455d5c922.jpg https://mebelcity.com/upload/iblock/172/17258f0dfc4282e1c62b2654081f67a8.jpg https://mebelcity.com/upload/iblock/dc7/dc78b20065aec44a828442da66ab5945.jpg";;;;;51;50;;;91;61;;Ткань;Металл;;;Бургунди;;;Чёрный;;"<h1>Стул CHIC G062-36 бургунди, велюр</h1>
<p>Сиденье обито велюром.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 4 шт./1 кор.</p>
";6,4;0,076;Китай;"TIANJIN U-LIKE INTL.CO.,LTD ";;2900.00;3050.00;4600.00;2416.00;2666.00;60;
UDC7098G06210;"Стул CHIC G062-10 шоколадный, велюр М-City";"https://mebelcity.com/upload/iblock/45b/45b8e15587163c2897b4b5bf5bfde68f.jpg https://mebelcity.com/upload/iblock/11e/11ef755b08454f90e702c6e37ffe19c7.jpg https://mebelcity.com/upload/iblock/3ce/3ce31041bc0724425e418910e9f5b71f.jpg";;;;;51;50;;;91;61;;Ткань;Металл;;;Шоколадный;;;Чёрный;;"<h1>Стул CHIC G062-10 шоколадный, велюр</h1>
<p>Сиденье обито велюром.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 4 шт./1 кор.</p>
";6,4;0,076;Китай;"TIANJIN U-LIKE INTL.CO.,LTD ";;2900.00;3050.00;4600.00;2416.00;2666.00;;
UDC7083G06212;"Стул YOKI G062-12 бежевый, велюр М-City";"https://mebelcity.com/upload/iblock/e45/e453e7326e186e10c1beee085b82e268.jpg https://mebelcity.com/upload/iblock/c19/c19975b953c5a2ec571e16c8fbeb8809.jpg https://mebelcity.com/upload/iblock/e80/e80c7e66b1ef1970fdd8c8b343ab7892.jpg";;;;;51;49;;;81;59;;Ткань;Металл;;;Бежевый;;;Чёрный;;"<h1>Стул YOKI G062-12 бежевый, велюр</h1>
<p>Сиденье обито велюром.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 2 шт./1 кор.</p>
";7,3;0,086;Китай;"TIANJIN U-LIKE INTL.CO.,LTD ";;3200.00;3350.00;5150.00;2666.00;2916.00;151;
UDC7083G06242;"Стул YOKI G062-42 серо-голубой, велюр М-City";"https://mebelcity.com/upload/iblock/ffa/ffa502b0c8125e50487b9e980662c917.jpg https://mebelcity.com/upload/iblock/a7b/a7b3eda78309e264de95f0435d890c31.jpg https://mebelcity.com/upload/iblock/901/9011655f28a74adc4dbb01894d98831e.jpg";;;;;51;49;;;81;59;;Ткань;Металл;;;Серо-голубой;;;Чёрный;;"<h1>Стул YOKI G062-42 серо-голубой, велюр</h1>
<p>Сиденье обито велюром.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 2 шт./1 кор.</p>
";7,3;0,086;Китай;"TIANJIN U-LIKE INTL.CO.,LTD ";;3200.00;3350.00;5150.00;2666.00;2916.00;276;
UDC7083G06238;"Стул YOKI G062-38 темно-серый, велюр М-City";"https://mebelcity.com/upload/iblock/845/84577c8ed1267c0529f38e04fcfab55f.jpg https://mebelcity.com/upload/iblock/d35/d35289fec47658fe664e79fad821570c.jpg https://mebelcity.com/upload/iblock/60d/60d171eff055cf63284c9e86fac79d28.jpg";;;;;51;49;;;81;59;;Ткань;Металл;;;Серый;;;Чёрный;;"<h1>Стул YOKI G062-38 темно-серый, велюр</h1>
<p>Сиденье обито велюром.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 2 шт./1 кор.</p>
";7,3;0,086;Китай;"TIANJIN U-LIKE INTL.CO.,LTD ";;3200.00;3350.00;5150.00;2666.00;2916.00;190;
UDC7083G06217;"Стул YOKI G062-17 олива, велюр М-City";"https://mebelcity.com/upload/iblock/4b0/4b0847f44567db09c0f309a98c9980ae.jpg https://mebelcity.com/upload/iblock/d66/d66cc3a43c7dbdc7db5fd762e95bccb4.jpg https://mebelcity.com/upload/iblock/be6/be6d9cd523603059364ea97f8e757981.jpg";;;;;51;49;;;81;59;;Ткань;Металл;;;Оливковый;;;Чёрный;;"<h1>Стул YOKI G062-17 олива, велюр</h1>
<p>Сиденье обито велюром.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 2 шт./1 кор.</p>
";7,3;0,086;Китай;"TIANJIN U-LIKE INTL.CO.,LTD ";;3200.00;3350.00;5150.00;2666.00;2916.00;273;
UDC7098G0624;"Стул CHIC G062-4 крем-брюле, велюр М-City";"https://mebelcity.com/upload/iblock/4e4/4e46403214578b52791785cc04ed7e7d.jpg https://mebelcity.com/upload/iblock/fca/fcaf69869151bb3b1ecb47ad891027ff.jpg https://mebelcity.com/upload/iblock/cd6/cd69dcdad578edf5078fdaefe872dbc1.jpg";;;;;51;50;;;91;61;;Ткань;Металл;;;Крем-брюле;;;Чёрный;;"<h1>Стул CHIC G062-4 крем-брюле, велюр</h1>
<p>Сиденье обито велюром.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 4 шт./1 кор.</p>
";6,4;0,076;Китай;"TIANJIN U-LIKE INTL.CO.,LTD ";;2900.00;3050.00;4600.00;2416.00;2666.00;2;
UDC7066G06210;"Стул DUBLIN G062-10 шоколадный, велюр М-City";"https://mebelcity.com/upload/iblock/58a/58abcf7af16e64240ceb1517e08d170c.jpg https://mebelcity.com/upload/iblock/b2a/b2a10c22051cee4b50f2e12a6ba09225.jpg https://mebelcity.com/upload/iblock/4f3/4f3f6463a2848e193da85b6377a312d0.jpg";;;;;45;51;;;88;56;;Ткань;Металл;;;Шоколадный;;;Чёрный;;"<h1>Стул DUBLIN G062-10 шоколадный, велюр </h1>
<p>Сиденье обито велюром.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 4 шт./1 кор.</p>
";6;0,053;Китай;"TIANJIN U-LIKE INTL.CO.,LTD ";;2100.00;2200.00;3350.00;1750.00;1916.00;2;
UDC7066G06213;"Стул DUBLIN G062-13 кварцевый, велюр М-City";"https://mebelcity.com/upload/iblock/b5b/b5b6833ea0e7393d05779868a27f31fe.jpg https://mebelcity.com/upload/iblock/9bf/9bfe3a46f5718c336da2b477f8733236.jpg https://mebelcity.com/upload/iblock/fb7/fb7dbbf53bdd2ba55cc5c757e5fa386e.jpg";;;;;45;51;;;88;56;;Ткань;Металл;;;Кварцевый;;;Чёрный;;"<h1>Стул DUBLIN G062-13 кварцевый, велюр</h1>
<p>Сиденье обито велюром.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 4 шт./1 кор.</p>
";6;0,053;Китай;"TIANJIN U-LIKE INTL.CO.,LTD ";;2100.00;2200.00;3350.00;1750.00;1916.00;;"08.06.2020 0:00:00"
